municipio;codEstacao;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;00:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;00:20:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;01:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;02:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;03:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;04:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;05:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;06:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;07:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;08:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;09:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;10:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;11:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;12:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;13:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;14:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;15:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;16:10:00.0;0
ALTO ALEGRE DO MARANHÌO;210043601A;MA;Centro;-4,20157;-44,45349;01/07/2023;17:10:00.0;0
