codEstacao;municipio;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;11:10:00.0;0,2
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;11:20:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;11:30:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;11:40:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;11:50:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;12:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;13:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;13:10:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;13:20:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;13:30:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;13:40:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;13:50:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;14:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;14:10:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;14:20:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;14:30:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;14:40:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;14:50:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;15:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;15:10:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;15:20:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;15:30:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;15:40:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;15:50:00.0;0,4
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;16:00:00.0;0,6
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;17:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;18:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;19:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;20:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;21:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;22:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;08/04/2015;23:00:00.0;0
210530204A;IMPERATRIZ;MA;Infraero;-553.254;-4.745.691;09/04/2015;00:00:00.0;0
